Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code
Allemagne,Altwigshagen,Altwigshagen,ALTWIGSHAGEN,0
Allemagne,Alveslohe,Alveslohe,ALVESLOHE,0
Allemagne,Alzenau,Alzenau,ALZENAU,0
Allemagne,Alzey,Alzey,ALZEY,0
Allemagne,Am Großen Bruch,Am Großen Bruch,AM GROSSEN BRUCH,0
Allemagne,Am Großen Rhode,Am Großen Rhode,AM GROSSEN RHODE,0
Allemagne,Am Mellensee,Am Mellensee,AM MELLENSEE,0
Allemagne,Am Salzhaff,Am Salzhaff,AM SALZHAFF,0
Allemagne,Amberg,Amberg,AMBERG,0
Allemagne,Amberg,Amberg,AMBERG,0
Allemagne,Amelinghausen,Amelinghausen,AMELINGHAUSEN,0
Allemagne,Amerang,Amerang,AMERANG,0
Allemagne,Amerdingen,Amerdingen,AMERDINGEN,0
Allemagne,Ammeldingen an der Our,Ammeldingen an der Our,AMMELDINGEN AN DER OUR,0
Allemagne,Ammeldingen bei Neuerburg,Ammeldingen bei Neuerburg,AMMELDINGEN BEI NEUERBURG,0
Allemagne,Ammerbuch,Ammerbuch,AMMERBUCH,0
Allemagne,Ammerndorf,Ammerndorf,AMMERNDORF,0
Allemagne,Ammersbek,Ammersbek,AMMERSBEK,0
Allemagne,Ammerthal,Ammerthal,AMMERTHAL,0
Allemagne,Amöneburg,Amoneburg,AMÖNEBURG,0
Allemagne,Amorbach,Amorbach,AMORBACH,0
Allemagne,Ampfing,Ampfing,AMPFING,0
Allemagne,Amstetten,Amstetten,AMSTETTEN,0
Allemagne,Amt Neuhaus,Amt Neuhaus,AMT NEUHAUS,0
Allemagne,Amtsberg,Amtsberg,AMTSBERG,0
Allemagne,Amtzell,Amtzell,AMTZELL,0
Allemagne,An der Poststraße,An der Poststraße,AN DER POSTSTRASSE,0
Allemagne,Andechs,Andechs,ANDECHS,0
Allemagne,Andenhausen,Andenhausen,ANDENHAUSEN,0
Allemagne,Anderlingen,Anderlingen,ANDERLINGEN,0
Allemagne,Andernach,Andernach,ANDERNACH,0
Allemagne,Andervenne,Andervenne,ANDERVENNE,0
Allemagne,Andisleben,Andisleben,ANDISLEBEN,0
Allemagne,Angelbachtal,Angelbachtal,ANGELBACHTAL,0
Allemagne,Angelburg,Angelburg,ANGELBURG,0
Allemagne,Angelroda,Angelroda,ANGELRODA,0
Allemagne,Anger,Anger,ANGER,0
Allemagne,Angermünde,Angermunde,ANGERMÜNDE,0
Allemagne,Angern,Angern,ANGERN,0
Allemagne,Angersdorf,Angersdorf,ANGERSDORF,0
Allemagne,Anhalt Süd,Anhalt Sud,ANHALT SÜD,0
Allemagne,Anhausen,Anhausen,ANHAUSEN,0
Allemagne,Ankershagen,Ankershagen,ANKERSHAGEN,0
Allemagne,Anklam,Anklam,ANKLAM,0
Allemagne,Ankum,Ankum,ANKUM,0
Allemagne,Annaberg-Buchholz,Annaberg-Buchholz,ANNABERG-BUCHHOLZ,0
Allemagne,Annaburg,Annaburg,ANNABURG,0
Allemagne,Annweiler am Trifels,Annweiler am Trifels,ANNWEILER AM TRIFELS,0
Allemagne,Anröchte,Anrochte,ANRÖCHTE,0
Allemagne,Anrode,Anrode,ANRODE,0
Allemagne,Ansbach,Ansbach,ANSBACH,0
Allemagne,Anschau,Anschau,ANSCHAU,0
Allemagne,Antdorf,Antdorf,ANTDORF,0
